text,style
"Students taking finals in room 237 all wrote the same answers, regardless of the test. The answers were always correct. Those who pointed this out forgot about it as soon as they left the room.",narrative
"The city's last payphone rang for someone different each time. It always knew who was walking past. Those who answered heard voices they needed to hear - dead parents, estranged friends, their younger selves.",narrative
"Books returned to the library's overnight drop appeared on shelves in other libraries worldwide. Librarians found books in languages that didn't exist. One book was checked out to someone from next century.",narrative
"The census revealed the town's population was exactly what it had been in 1850. Individual people changed, but the total never did. When someone was born, someone else vanished. When someone died, a stranger arrived.",narrative
"Uber drivers picking up from the old train station arrived in different decades. Passengers got in modern cars and exited in different eras. Drivers insisted the trips were normal. Payment always processed correctly.",narrative
"The high school yearbook committee found photos of themselves from years they hadn't attended. Freshman saw senior portraits, seniors found elementary photos. The darkroom's red light had been on for thirty years.",narrative
"Mrs. Thompson's kindergarten class could read books that hadn't been written yet. They discussed plots of novels that would be published when they were adults. Their drawings showed inventions from the next century.",narrative
"The mall Santa knew what every child would actually get for Christmas, not what they wanted. His predictions were always right. Parents found themselves buying exactly what he said, even when they tried not to.",narrative
"Night janitors at the courthouse cleaned rooms that didn't exist during the day. They had keys to doors that led to blank walls in daylight. Their cleaning supplies were always restocked by morning.",narrative
"The pool at the recreation center was deeper for some swimmers than others. Children found the bottom at three feet. Adults couldn't touch it at twenty. Lifeguards saw different depths from each chair.",narrative
"Packages delivered to the old Montgomery house were received and signed for, though no one had lived there in a decade. Delivery drivers described different residents each time. The packages disappeared from porches.",narrative
"The town's only traffic light had been green in all directions for six months. No accidents occurred. Cars passed through each other like ghosts. Visitors saw normal light changes and frequent collisions.",narrative
"Students in detention wrote lines that appeared on blackboards throughout the school. 'I will not exist yesterday' appeared most frequently. Teachers erased them, but they rewrote themselves.",narrative
"The diner's jukebox played songs customers were thinking of, even if they weren't in its catalog. It played lullabies for the sleepless, love songs for the lonely. Unplugged, it played louder.",narrative
"Residents of Pine Grove Apartments aged differently in each unit. Apartment 3B aged people forward rapidly, 2A backward slowly. People moved frequently, trying to find the unit that matched their desired age.",narrative
"The post office delivered mail from parallel universes every Tuesday. Letters from versions of residents who'd made different choices. Some P.O. boxes received death threats from alternate selves.",narrative
"Dr. Brennan's dental patients grew extra teeth - not in their mouths, but in jars the dentist kept. The teeth were alive, clicking against glass. Patients felt phantom pains when their jar teeth were touched.",narrative
